system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,OGC_0,OGC_0_53,OGC_1_03,OGC_1_57,OGC_2_10,OGC_2_60,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,latitude,lavouras,longitude,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v002,mapbiomas_sand_v002,mapbiomas_silt_v002,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
2_00000000000000001ba3_0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,4,0,21.316618,46.95628,59.224766,56.199917,37.522427,10.259656,0,0,3,0,0,9,10,1960,0,133,4,69.2,20,15.22,7.61,101,36,54,11.17,25,-8,103.21,ctb0682-234,-1,224,1831,0,0,0,0,16316,0,21399,0,1,1,0,0,0,0,0,0,17.19760821833489,71.87994085690028,10.922450924764828,0,20,0,13,5,0,175,0,0,55,0,15,0,0,6,138,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.199996563207634,-21.316617450278393]}"
2_00000000000000001ba2_0,0,0,0,0,1,1,0,17,0,0,0,0,0,0,0,1,3,0,21.450018,47.376476,59.809025,56.799812,37.970875,10.450201,0,0,3,0,0,39,3,1960,20,128,13,84.38,0,20.25,9.28,100,44,53,13.63,-6,-2,127.54,ctb0682-233,0,395,9895,4,0,0,0,16450,0,21999,0,1,0,0,0,0,1,0,0,47.15684373589332,21.26881502168141,31.57434124242528,0,0,6,16,-1,0,180,20,0,57,0,5,4,0,2,179,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.799891509942654,-21.450017269970143]}"
2_00000000000000001ba5_0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,2,0,21.55,47.420147,59.788242,56.716537,37.8483,10.321753,0,0,4,1,0,2,8,1960,20,124,5,4.17,0,13.94,0.0,120,44,56,0.38,0,2,18.49,ctb0682-244,0,463,6057,6,0,0,0,16549,0,21916,1,0,0,1,0,0,0,1,0,45.72234737384899,21.794241307615277,32.48341131853574,0,0,12,17,0,0,184,20,0,62,0,3,6,0,1,182,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.71661768310477,-21.549999761092646]}"
2_00000000000000001ba8_0,0,1,0,0,1,1,0,48,0,0,0,0,0,0,0,0,1,0,21.700108,47.311882,59.463123,56.250042,37.370358,9.955084,0,0,2,0,0,4,0,1960,0,127,4,62.23,0,14.64,2.98,89,28,31,3.63,-25,-8,83.48,ctb0682-255,4,348,2329,0,0,20,0,16700,0,21450,0,1,0,0,0,0,1,0,0,12.727527164724343,79.3484065564548,7.924066278820837,0,20,0,13,-1,0,139,0,0,53,0,12,0,0,4,155,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.2501225560615,-21.700108245069018]}"
2_00000000000000000e3f_0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,20.860363,41.5632,50.537365,46.376842,29.29957,5.652073,0,0,8,1,0,6,1,1960,20,123,15,7.4,0,17.58,0.03,92,60,67,1.78,31,-14,26.79,ctb0064-12602,-7,911,3161,0,0,0,0,15860,0,11576,1,0,0,0,0,0,0,0,0,48.471738881652485,26.591731594016576,24.936529524330943,0,0,-1,15,6,0,178,20,-2,52,0,30,0,0,10,196,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.37691893136066,-20.86036311747409]}"
2_00000000000000000e39_0,0,0,0,0,1,1,0,50,0,0,0,0,0,0,0,0,0,0,21.04955,41.338905,49.97906,45.61633,28.548662,5.1021037,0,0,5,0,0,4,3,1960,20,123,9,32.2926,0,14.1623,3.3152,97,49,43,3.98505,-4,-14,53.7551,ctb0064-12569,3,872,599,-2,0,0,0,16049,0,10816,1,0,0,0,0,0,0,0,0,53.510654826088555,29.333220542416544,17.156124631494897,20,0,-6,16,3,0,184,0,2,50,0,14,-4,0,5,188,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.61640521182508,-21.04954831630966]}"
2_00000000000000000ed3_0,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,2,1,21.076498,41.081837,49.518875,45.06575,28.061039,4.7986436,0,0,1,0,0,3,1,1960,20,116,8,75.1,0,17.65,2.98,112,56,52,3.76,35,2,99.48,ctb0064-5924,-2,873,4109,1,0,0,0,16076,0,10265,1,0,0,0,0,0,0,0,0,47.1191543602825,36.012766218580836,16.868079421136667,0,0,5,18,-3,0,169,20,-1,51,0,20,1,0,5,203,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.06582777418822,-21.076497774833246]}"
2_00000000000000000ed5_0,0,0,0,0,1,0,0,46,0,0,0,0,0,0,0,1,1,0,20.812124,41.104774,49.807865,45.55785,28.619184,5.2766976,0,0,4,1,0,5,3,1960,0,128,8,12.2632,20,25.017,1.71685,94,38,51,3.12059,14,61,40.9321,ctb0064-5937,0,771,6831,0,0,0,0,15812,0,10757,1,0,0,0,0,0,0,0,0,46.742740175877096,32.1343073365329,21.12295248759,0,20,0,14,0,0,174,0,-3,52,0,5,0,0,1,161,13,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.5579248868289,-20.812123586716872]}"
2_00000000000000000ed6_0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,1,0,20.531311,41.002583,49.90083,45.831924,28.998041,5.657921,0,0,5,1,0,2,2,1960,20,125,11,12.0666,0,24.6159,1.68932,97,30,51,3.07057,-29,-16,40.3345,ctb0064-5950,-5,824,15484,0,0,0,0,15531,0,11032,1,0,0,0,0,0,0,0,0,54.16376886589342,28.92248688147358,16.91374425263301,0,0,0,14,-4,0,190,20,3,52,0,18,0,0,7,169,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.832000880013766,-20.53131022890111]}"
2_00000000000000000efc_0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,1,1,20.97355,41.518913,50.355362,46.098454,29.002333,5.4129376,0,0,6,0,0,4,0,1960,20,119,15,43.49,0,15.42,4.26,96,63,57,5.33,9,-17,68.5,ctb0064-7336,10,821,5356,-4,0,0,0,15973,0,11298,1,0,0,0,0,0,0,0,0,51.8349989516917,31.05959686312986,17.105404185178447,0,0,-6,15,3,0,188,20,-2,52,0,28,-5,0,11,190,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.098531024812026,-20.97355084327315]}"
2_00000000000000000f7e_0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,2,1,21.567516,41.852787,50.357784,45.749996,28.400047,4.7243075,0,0,4,0,0,4,0,1960,20,120,9,75.1,0,17.65,2.98,104,59,55,3.76,-4,-16,99.48,ctb0064-7976,-9,891,2318,0,0,0,0,16567,0,10950,1,0,0,0,0,0,0,0,0,53.56889097844585,28.143266938851507,18.28784208270265,0,0,-1,17,11,0,194,20,0,51,0,43,0,0,15,205,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.75007452610207,-21.567516909132976]}"
2_00000000000000000f87_0,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,1,1,21.259214,41.589203,50.20386,45.753498,28.560001,4.99146,0,0,1,0,0,3,1,1960,20,123,13,75.1,0,17.65,2.98,99,46,46,3.76,-11,-20,99.48,ctb0064-8007,10,865,8244,-4,0,0,0,16259,0,10953,1,0,0,0,0,0,0,0,0,50.075438097823955,30.615982688994258,19.30857921318179,0,0,-8,16,-9,0,191,20,-2,52,0,40,-5,0,14,185,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.75357795571013,-21.25921510362316]}"
2_00000000000000000f8a_0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,1,21.394232,41.575912,50.053616,45.499096,28.272297,4.7457447,0,0,7,0,0,5,0,1960,20,119,17,75.1,0,17.65,2.98,84,56,43,3.76,-36,-29,99.48,ctb0064-8022,-2,1022,8508,0,0,0,0,16394,0,10699,1,0,0,0,0,0,0,0,0,50.63437255091262,29.843148059101964,19.52247938998541,0,0,-1,17,-18,0,183,20,9,51,0,47,0,0,19,206,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.49917506724748,-21.394231890826322]}"
2_00000000000000000f96_0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,1,1,21.38992,41.809944,50.453415,45.96613,28.676487,4.9871936,0,0,7,0,0,4,1,1960,20,126,10,43.49,0,15.42,4.26,107,69,60,5.33,-29,-23,68.5,ctb0064-8068,3,811,12065,-1,0,0,0,16389,0,11166,1,0,0,0,0,0,0,0,0,53.47720418496327,28.704335932026652,17.818459883010078,0,0,-1,15,-7,0,188,20,3,51,0,24,-4,0,8,194,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.96620918346122,-21.389919977462547]}"
2_00000000000000001ba1_0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,0,0,5,0,21.43331,47.05672,59.284164,56.199917,37.463024,10.159215,0,0,3,0,0,13,6,1960,20,132,4,121.92,0,29.26,13.41,102,52,52,2.87,17,4,167.46,ctb0682-232,1,217,1634,0,0,0,0,16433,0,21399,0,1,0,0,0,0,1,0,0,16.14086835544903,73.0817767500396,10.777354894511376,20,0,0,13,0,0,181,0,0,55,0,4,0,0,1,155,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.199996563207634,-21.43330860568552]}"
2_00000000000000001ba6_0,0,0,0,0,1,0,0,70,0,0,0,0,0,0,0,0,1,0,21.55,47.352238,59.67342,56.583138,37.73348,10.253847,0,0,2,1,0,2,2,1960,20,133,4,4.17,0,13.94,0.0,99,31,57,0.38,21,-2,18.49,ctb0682-245,-2,392,2373,2,0,0,0,16549,0,21783,0,1,0,0,0,0,1,0,0,29.85682853590623,58.19497289837331,11.948198565720462,0,0,6,13,-1,0,203,20,-1,55,0,7,2,0,3,134,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.583217863413026,-21.549999761092646]}"
2_00000000000000001ba7_0,0,0,0,0,1,1,0,61,0,0,0,0,0,0,0,0,1,0,21.616566,47.222965,59.39183,56.216625,37.38412,10.009983,0,0,1,0,0,0,2,1960,20,129,4,62.23,0,14.64,2.98,90,54,51,3.63,25,2,83.48,ctb0682-252,0,334,3944,0,0,0,0,16616,0,21416,0,1,0,0,0,0,1,0,0,13.33583837187608,79.47320690393461,7.190954724189306,20,0,-1,13,3,0,193,0,1,49,0,9,-1,0,3,143,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.216705227492255,-21.616564923645903]}"
2_00000000000000000e3a_0,0,1,0,0,1,0,0,39,0,0,0,0,0,0,0,1,0,0,20.590868,40.90802,49.684566,45.545452,28.721144,5.460831,0,0,7,1,0,3,3,1960,20,123,12,12.3393,0,25.1722,1.7275,103,39,48,3.13996,-22,-9,41.1634,ctb0064-12573,-4,808,624,0,0,0,0,15590,0,10745,1,0,0,0,0,0,0,0,0,50.723401406156164,34.13725804137403,15.139340552469788,20,0,0,14,2,0,164,0,0,53,0,13,0,0,4,168,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.54552813590804,-20.590868532238233]}"
2_00000000000000000f99_0,0,0,0,0,1,1,0,51,0,0,0,0,0,0,0,1,0,0,21.106682,41.53144,50.25055,45.89795,28.761982,5.196283,0,0,3,0,0,4,2,1960,0,119,10,43.49,0,15.42,4.26,106,34,26,5.33,-16,-17,68.5,ctb0064-8092,-6,809,4648,0,0,20,0,16106,0,11098,1,0,0,0,0,0,0,0,0,50.332039665566576,31.322774563590162,18.34518577084326,0,20,-2,15,2,0,142,0,3,51,0,16,0,0,6,185,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.89802705339655,-21.106681168379662]}"
2_000000000000000020f1_0,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,1,1,21.050087,41.042503,49.477364,45.033142,28.046415,4.804777,0,0,2,0,0,2,0,1960,0,119,7,75.1,0,17.65,2.98,108,62,30,3.76,24,0,99.48,ctb0769-44,7,968,5373,4,0,20,0,16050,0,10233,1,0,0,0,0,0,0,0,0,52.87754549444731,19.05131004802999,28.071144457522706,0,20,4,18,-14,0,128,0,-9,51,0,57,1,0,19,201,1,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.033218929374684,-21.050087305480133]}"
3_00000000000000001b15_0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,8.850067,27.902977,38.805676,39.85,29.795406,12.667454,0,0,0,0,1,6,1,1961,0,138,4,9.59,0,5.85,1.25,220,54,75,1.6,-27,-7,18.28,ctb0678-46,0,367,836,0,20,0,0,3850,0,5050,0,0,0,0,0,0,0,0,0,12.503258898757567,70.15707258690985,17.33966851433258,0,20,0,7,0,0,179,0,0,66,0,2,0,0,0,58,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.850029571533454,-8.85006743185291]}"
3_00000000000000000e3c_0,0,1,0,0,1,0,0,45,0,0,0,0,0,0,0,0,2,0,16.607738,39.01357,50.25084,48.558956,33.342567,10.423265,0,0,3,1,0,2,1,1961,20,128,4,10.7193,0,21.8675,1.5007,82,46,54,2.72772,3,-23,36.2387,ctb0064-12592,7,854,5976,-1,0,0,0,11607,0,13759,0,1,0,0,0,1,0,0,0,42.72025127146023,31.54346127970574,25.736287448834034,0,0,-4,13,0,0,188,20,0,54,0,19,-2,0,8,180,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.559016588015396,-16.607738562452276]}"
3_00000000000000001b14_0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7.6834254,27.026108,38.427074,40.100094,30.604544,13.798941,0,0,1,0,1,7,0,1961,20,133,5,9.59,0,5.85,1.25,204,92,76,1.6,-70,-6,18.28,ctb0678-45,0,534,1389,2,0,0,0,2683,0,5300,0,1,0,0,1,0,0,0,0,18.250424701023768,62.695528126882735,19.0540471720935,0,0,6,10,-1,0,194,20,0,61,0,3,4,0,1,80,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.10012054663233,-7.683425372366887]}"
3_00000000000000000e3b_0,0,0,0,0,1,1,0,43,0,0,0,0,0,0,0,0,1,0,19.378681,39.30781,48.12597,44.45158,28.396658,5.9473915,0,0,7,0,0,6,4,1961,20,131,9,11.9455,0,24.3687,1.67237,99,29,55,3.03975,-3,-8,39.9661,ctb0064-12591,1,698,7944,0,0,0,0,14378,0,9651,1,0,0,0,0,0,0,0,0,46.267829101398725,36.492398359694874,17.239772538906404,20,0,0,12,2,0,205,0,0,54,0,7,0,0,2,149,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.45164961443571,-19.37868188784735]}"
3_00000000000000000e3d_0,0,1,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,15.78066,37.914124,49.17452,47.797638,33.108288,10.747629,0,0,6,1,0,4,1,1961,0,116,8,22.8929,0,14.7952,2.67908,70,22,37,4.19551,2,-3,44.5627,ctb0064-12593,2,1071,6901,0,0,20,0,10780,0,12997,1,0,0,0,0,0,0,0,0,62.63500755486654,22.24392186252548,15.12107058260798,0,20,-2,12,-4,0,161,0,1,52,0,12,0,0,4,181,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.797694384724096,-15.780659680363431]}"
3_00000000000000001b13_0,0,1,1,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,9.08318,28.502285,39.598434,40.63315,30.350832,12.865456,0,0,1,0,1,5,4,1961,0,137,4,9.59,0,5.85,1.25,195,82,73,1.6,2,8,18.28,ctb0678-44,1,430,1853,0,0,0,20,4083,0,5833,0,0,0,0,0,0,0,0,0,10.883938743378877,76.33821815043927,12.77784310618185,0,20,0,7,0,0,172,0,0,60,0,5,0,0,2,69,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.63318083622886,-9.083180248081927]}"
4_00000000000000001b45_0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,8.066647,25.862713,36.097202,37.16664,27.884533,11.975853,0,0,5,0,1,50,5,1962,0,135,5,9.59,0,5.85,1.25,152,110,65,1.6,-17,-10,18.28,ctb0678-97,0,669,958,-2,0,0,20,3066,0,2366,0,0,0,0,0,0,0,0,0,9.752386688048448,79.07334517695264,11.174268134998913,0,20,-6,10,-1,0,172,0,1,61,0,7,-4,0,2,102,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.166671986340035,-8.066646672572276]}"
4_00000000000000000dda_0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,2,2,1,9.613007,26.601229,35.8825,36.00269,26.095509,10.0523405,0,0,7,0,0,0,14,1962,20,129,6,78.54,0,18.46,2.98,159,76,43,3.77,-55,-4,103.74,ctb0064-11942,0,8,4989,-10,0,0,0,4613,0,1202,0,1,0,0,1,0,0,0,0,25.364118142200265,52.127825361145895,22.50805649665384,20,0,-17,17,0,0,149,0,0,54,0,1,-10,0,0,252,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.002724872706374,-9.61300660265562]}"
4_00000000000000000ddb_0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,12,1,9.766349,26.781233,36.041748,36.09701,26.098639,9.968366,0,0,7,0,0,4,4,1962,20,130,8,35.06,0,7.19,2.98,159,163,47,3.29,-9,-28,48.51,ctb0064-11943,16,69,8444,0,0,0,0,4766,0,1297,0,1,0,0,1,0,0,0,0,22.410469110221257,61.16684519741824,16.4226856923605,20,0,0,16,5,0,146,0,2,54,0,46,6,0,17,198,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.09704797753892,-9.766349021654822]}"
4_00000000000000000dea_0,0,1,0,0,0,0,0,21,0,1,0,0,0,0,0,1,8,1,9.348093,26.418203,35.823734,36.091084,26.306446,10.325359,0,0,4,0,0,3,5,1962,20,124,39,96.5,0,22.68,2.98,160,153,47,3.63,-2,-17,125.79,ctb0064-11974,-7,232,3937,-5,0,0,0,4348,0,1291,0,1,0,0,1,0,0,0,0,24.32009743553127,59.28867865251395,16.391223911954786,0,0,-11,17,3,0,157,20,3,53,0,26,-6,0,8,211,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.09111909666373,-9.348093425368774]}"
4_00000000000000000df1_0,0,0,1,0,0,1,0,14,0,0,0,0,0,0,0,0,5,0,9.74964,27.04355,36.501118,36.640583,26.575016,10.259444,0,0,3,0,0,8,8,1962,20,137,7,42.11,0,13.1,5.05,174,110,70,3.9,-2,14,64.15,ctb0064-11996,0,275,2186,-4,0,0,0,4749,0,1840,0,1,0,0,1,0,0,0,0,18.7259293606889,64.95408229845187,16.31998834085923,0,0,-11,10,0,0,172,20,0,59,0,2,-6,0,0,124,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.64061855595964,-9.7496403573702]}"
4_00000000000000000df6_0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,1,3,1,10.229341,27.375237,36.60798,36.48104,26.193504,9.765333,0,0,8,0,0,2,13,1962,20,137,7,63.07,0,14.82,2.98,100,90,71,3.03,-17,-15,83.9,ctb0064-12006,-4,32,3905,4,0,0,0,5229,20,1681,0,1,0,0,1,0,0,0,0,24.37555181255486,55.9283675522371,19.69608063520804,0,20,10,11,2,0,185,0,0,54,0,13,6,0,5,134,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.48107776150002,-10.229340719090025]}"
